id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
763590,Czech-Moravian Confederation of Trade Unions,CZ,Czech Republic,,Prague,,labor/national_union,trade union,http://www.cmkos.cz,,,democracy,,,wikidata_unions,Q340104,1990,,,,,labor_union,,2,http://www.wikidata.org/entity/Q340104,,
764450,People's Building and Housing Cooperative in Pilsen,CZ,Czechoslovakia,,,,land_and_housing/housing_cooperative,Czech housing cooperative,http://www.lbdplzen.cz,,,cooperatives,,,wikidata_land_trusts,Q132184654,1912,,,,,cooperative,,6,http://www.wikidata.org/entity/Q132184654,,
764751,People's Building and Housing Cooperative in Pilsen,CZ,Czech Republic,,,,labor/construction_cooperative,Czech housing cooperative,http://www.lbdplzen.cz,,,cooperatives,,,construction_coops,Q132184654,1912,,,,,cooperative,"construction,worker_cooperative",2,http://www.wikidata.org/entity/Q132184654,,
