id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
910966,Botswana Co-operative Association (BOCA),BW,,,Gaborone,,,"BOCA is the apex organisation for all co-operatives in Botswana. In 2011, they had 51,400 individual members.",,,,cooperatives,,,ica_directory,27,,,,,,cooperative,ica_member,9,https://lod.coop/ica/27,,
763928,Botswana Federation of Trade Unions,BW,Botswana,,,,labor/union_federation,"ITUC affiliate. BFTU. 56,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Botswana_Federation_of_Trade_Unions,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Botswana_Federation_of_Trade_Unions,,
764681,Habitat for Humanity Botswana,BW,Botswana,,Gaborone,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitatbotswana.org/.,https://www.habitatbotswana.org/,,,housing_land,,,habitat_affiliates,BW:habitat-for-humanity-botswana,,,,,,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://www.habitatbotswana.org/,,
